AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
1、cache是位于CPU与内存间的一种容量较小但速度很高的存储器。2、当CPU直接从内存中存取数据时要等待一定时间周期，而Cache则可以保存CPU刚用过或循环使用的一部分数据，如果CPU需要再次使用该部分数据时可从Cache中直接调用，这样就避免了重复存取数据，减少了CPU的等待时间，因而提高了系统的效率。3、程序员可根据需要调整虚拟内存容量的大小    普通,"关于高速缓存(Cache)与主存的关系,下列描述中错误的是（   ）。
",B,Cache是位于CPU与主存间的一种容量较小但速度很高的存储器,程序员可根据需要调整Cache容量的大小,"CPU首先访问Cache,若缺少所需数据或指令才访问主存",Cache中的数据是主存中部分数据的副本,,,
计算机的基本原理主要分为存储程序和程序控制。    普通,"电子计算机的基本工作原理可概括为（    ）。
",D,运算和控制,程序设计,执行指令,存储程序控制,,,
将应用程序与操作系统都安装在C盘上与解决系统资源没有关系。    普通,"下列对解决系统资源不足的问题做法错误的是(    )。
",C,将不用的程序彻底删除,更换速度快、容量大的内存条和硬盘,"为了便于管理,将应用程序与操作系统都安装在C盘上",使用磁盘碎片整理程序整理碎片,,,
内存条脱落后计算机无法启动的。    普通,"下列导致计算机重启故障的原因中不包括（   ）。
",C,硬盘磁道损坏,主板电容漏液,内存条脱落,CPU风扇转速过低或CPU过热,,,
MOV即QuickTime封装格式（也叫影片格式），它是Apple公司开发的一种音频、视频文件封装，用于存储常用数字媒体类型。    普通,"下列选项中（   ）不属于图像文件格式。
",D,bmp,gif,jpg,mov,,,
"进程是资源分配和调度的基本单位，操作系统中引入进程的概念,是为了实现多个程序的并发执行。    普通","操作系统引入进程的概念是为了实现（   ）。
",D,共享资源,独享资源,顺序执行指令,支持多任务处理,,,
应用软件调用操作系统提供的功能，操作系统提供资源接口。    普通,"操作系统和应用软件在计算机中运行时，正确的关系是（   )。
",A,应用软件调用操作系统提供的功能,操作系统调用应用软件提供的功能,操作系统运行完毕后在运行应用软件,两者互不相关，独立运行,,,
Windows操作系统采用并发多任务方式支持系统中多个任务的执行，所谓“并发多任务方式”是指前台、后台任务都能分配到CPU使用权。    普通,"下面有关Windows操作系统多任务处理系统的叙述中，正确的是（   )。
",B,由于计算机中有多个处理器，所以操作系统才能同时执行多个任务的处理,后台任务与前台任务一样都能得到CPU的及时响应,由于CPU具有多个执行部件，可同时执行多条指令，所以操作系统才能同时进行多个任务的处理,用户如果只启动一个应用程序工作，那么该程序就可以自始至终独占CPU,,,
数制也称为“计数制”，是用一组固定的符号和统一的规则来表示数值的方法。任何一个数制都包含两个基本要素：基数和位权。    普通,"下列对数制的描述(    )是正确的。
",D,数制是用一组不定的符号和一套特殊的规则来表示数值的方法,数制是用一组固定的符号和一套特殊的规则来表示数值的方法,数制是用一组不定的符号和一套统一的规则来表示数值的方法,数制是用一组固定的符号和一套统一的规则来表示数值的方法,,,
1、C是67=100 0011，奇校验0100 0011\r\n 2、3501D=8412BCD=0011 0101 0000 0001\r\n 3、区位码5416 =36 10+ A0A0=D6B0H\r\n4、（-100）10= 1 110 0100（原码）=1001 1100（补）    普通,下列关于各种编码的转化结果正确的是（ ）。,B,（-100）10在字长8位的计算机中采用补码形式表示为（1001 1011）B,汉字&ldquo;职&rdquo;的区位码是5416，则它的机内码是（D6B0）H,（3501）D采用8421BCD码时是（110110101101）B,校验位放在最高位时，大写字母&ldquo;C&rdquo;的奇校验数据是（01000110）B,,,
567(8)=1 0111 0111(2)=177(16)。    普通,"八进制567相对应的十六进制数应是(     )。
",D,237,1067,375,177,,,
存储器基本单位字节。    普通,"计算机中用来表示内存储器容量大小的基本单位是(   )。
",C,位,字,字节,双字节,,,
溢出，其根本原因是计算机的字长有限。    普通,"下列叙述中正确的是（   ）。
",D,数字0无论是用机器数的什么形式表示，其编码都是一样的,一个正数的补码和原码表示一样，而正数的反码就和该数的原码不同,8421码又称为BCD码，是二进制代码中最常用的一种,在计算机中表示的数有时会发生溢出，其根本原因是计算机的字长有限,,,
网页挂马指的是把一个木马程序上传到一个网站里面然后用木马生成器生一个网马，再上到空间里面！再加代码使得木马在打开网页时运行。    普通,"某在线游戏网站在主页上加了一个模块，收集浏览该网站的计算机信息，此安全风险被称为（   ）。
",D,爬虫,逻辑炸弹,后门,挂马,,,
指纹是生物识别技术。    普通,"学校用指纹机打卡上班考勤，指纹考勤机的核心技术是（   ）。
",D,加密技术,数字签名技术,防火墙技术,生物识别技术,,,
目前信息安全最大的安全威胁来自内网安全。    普通,"目前信息安全最大的安全威胁来自于以下哪个方面（    ）。
",B,网络黑客,内网安全,网页病毒,木马,,,
病毒特征：传染性、潜伏性、隐蔽性、破坏性、可触发性。    普通,"以下有关计算机病毒特征的说明正确的是(  \n)。
",A,传染性、潜伏性、隐蔽性、破坏性、可触发性,潜伏性、可触发性、破坏性、易读性、传染性,传染性、破坏性、易读性、潜伏性、伪装性,传染性、潜伏性、免疫性、安全性、激发性,,,
未经著作人同意而复制共享他人软件的行为，是侵权行为。    普通,"下列说法正确的是(   ）。
",C,受法律保护的软件，一经购买就可以复制给他人使用,购买、使用盗版软件不属于违法行行为,未经著作人同意而复制他人软件的行为，是侵权行为,下载他人解密的软件，不会构成对著作人的侵权,,,
ARP协议即地址解析协议，是根据IP地址获取MAC地址的一个网络层协议。    普通,"在TCP/IP协议簇中将IP地址映射到物理地址的协议是(  　)。
",D,UDP,SMTP,IP,ARP,,,
"IP地址为127.110.9.113/21，子网掩码为255.255.11111000.0=255.255.248.0，属于127.110.8.0/21这个子网。主机位全1的为该网段的广播地址,32-21=11位主机位全1.即127.110.15.255。    普通","？一台IP地址为127.110.9.113/21主机在启动时发出的广播IP是（    ）。
",B,127.110.9.255,127.110.15.255,127.110.255.255,127.255.255.255,,,
IPv6是英文“Internet Protocol Version 6”（互联网协议第6版）的缩写，IPv6的地址长度为128位，是IPv4地址长度的4倍。于是IPv4点分十进制格式不再适用，采用十六进制表示。    普通,"IPv6具有长达(    )位的地址空间，可以彻底解决IPv4地址不足的问题。
",C,32,64,128,256,,,
网络防火墙能阻挡外部任何形式的非法入侵是错误的。    普通,"下列关于网络防火墙说法错误的是(     )。
",A,网络防火墙能阻挡外部任何形式的非法入侵,网络防火墙不能防止本身安全漏洞的威胁,网络防火墙不能解决来自内部网络的攻击和安全问题,防火墙是网络安全的屏障,,,
1.交换机根据收到数据帧中的源MAC地址建立该地址同交换机端口的映射，并将其写入MAC地址表中。\r\n2.交换机将数据帧中的目的MAC地址同已建立的MAC地址表进行比较，以决定由哪个端口进行转发。    普通,"交换机工作于数据链路层，它通过将数据帧中的(   )和自己地址表中的信息进行比较,实现数据帧的转发。
",A,目的MAC地址,源MAC地址,目的IP地址,源IP地址,,,
集线器HUB是星型常用中央节点设备，其他选项不适合。    普通,在星型拓扑结构中常用于中央节点的网络设备是（ ）。,D,NIC,Router,MODEM,HUB,,,
第一代计算机网络是以单计算机为中心的联机终端系统；\r\n第二代计算机网络以通信子网为中心的主机互联；\r\n第三代计算机网络具有统一的网络体系结构并遵守国际标准的开放式和标准化的网络。\r\n第四代计算机网络就像一个对用户透明的大的计算机系统，发展为以因特网( Internet)为代表的互联网。    普通,"计算机网络的发展中，以通信子网为中心的计算机网络称为(    )。
",B,第一代计算机网络,第二代计算机网络,第三代计算机网络,第四代计算机网络,,,
无线网和有线网的划分是依据传输介质。    普通,"把计算机网络划分为有线网、无线网，分类依据是（    ）。
",C,网络的地理覆盖范围,网络的拓扑结构,网络的传输介质,网络的介质控制方法,,,
B/S结构（Browser/Server，浏览器/服务器模式），是WEB兴起后的一种网络结构模式，WEB浏览器是客户端最主要的应用软件。    普通,"在(    )网络模式中，客户机通过浏览器的HTTP协议提出服务请求，并将返回的信息通过浏览器提供给网络客户。
",B,C/S,B/S,Peer-to-Peer,主机-终端机,,,
政府部门。    普通,"由www.wuan.gov.cn可以看出是中国(    \n)的网站。
",D,教育部门,军事部门,商业部门,政府部门,,,
POP3服务器地址    普通,"在电子邮件地址\""zengbin@qq.com.cn\""中@符号后面的部分是指（   ）。
",D,WWW服务器地址,域名服务器地址,SMTP服务器地址,POP3服务器地址,,,
网页地址用URL标识，收藏夹收藏网页实质上就是保存该网页的URL    普通,"下列说法正确的是（  )。
",B,使用SMTP协议可以实现发件人的邮件直接发送到收件人的计算机中,网页地址用URL标识，收藏夹收藏网页实质上就是保存该网页的URL,只有纯文字的网页才能够用记事本编辑,采用“网页，仅HTML”方式保存网页，得到的文件是用HTTP语言描述的,,,
物质、能量、信息是构成现实世界的三大要素。    普通,"物质、能量、（   ）是构成现实世界的三大要素。
",B,社会,信息,人力,自然,,,
分析题干：同步发送和接受，全双工通信。    普通,"通信双方具备同步发送和接受信息能力，此类通信方式是（  ）。
",D,单工通信,半双工通信,广播通信,全双工通信,,,
按性能分类：巨型机、大型机、小型机、微型机、单片机。    普通,"计算机按性能分类(   )。
",D,通用机、专用机,服务器、工作站,数字计算机、模拟计算机、混合计算机,巨型机、大型机、小型机、微型机、单片机,,,
世界上第一台计算机埃尼阿克(ENIAC)，诞生于1946年2月14日的美国宾夕法尼亚大学。    普通,"世界上第一台通用计算机ENIAC诞生于（   ）年。
",B,1945,1946,1954,1964,,,
矩形方框工具    普通,"在photoshop中下列（    ）工具可以移动选区。
",B,路径工具,矩形方框工具,移动工具,直接选择工具,,,
WMA（Windows Media Audio），它是微软公司推出的与MP3格式齐名的一种新的音频格式。WMA支持证书加密，未经许可（即未获得许可证书），即使是非法拷贝到本地，也是无法收听的。    普通,下列音频格式中，由微软公司开发、非法拷贝到本地也是无法收听是( )。,D,avi,MIDI,AMR,WMA,,,
"目前ISO制订了两个压缩标准即JPEG和MPEG。JPEG是静态图像的压缩标准,适用于连续色调彩色或灰度图像；MPEG算法是适用于动态视频的压缩算法。    普通",目前ISO制订了两个图像压缩标准是（ ）。,C,JPEG、GIF,GIF、MPEG,JPEG、MPEG,BMP、MPEG,,,
多媒体技术（Multimedia Technology）是利用计算机对文本、图形、图像、声音、动画、视频等多种信息综合处理、建立逻辑关系和人机交互作用的技术。    普通,下面关于多媒体的知识描述正确的是( )。,D,多媒体具有分时性的特点,显示器的分辨率不受显示器的尺寸、显像管点距和电路特性影响,GIF、MPEG、AVI文件都是图像文件格式,多媒体技术是指利用计算机和相关设备处理多媒体信息的手段和方法,,,
流媒体(Streaming Media)技术是指将一连串的媒体数据压缩后，以流的方式在网络中分段传送，实现在网络上实时传输影音以供观赏的一种技术。    普通,"(     )技术解决了传统多媒体手段由于数据传输量大而与现实网络传输环境发生矛盾,促进了多媒体技术在网络上的普及应用。
",B,3D动画,流媒体,AI,区块链,,,
按Del键进入BIOS设置；按F1键继续。    普通,"屏幕提示“Press Fl to Continue,Del to setup”，以下说法正确的是（   ）。
",A,按Del键进入BIOS设置,按F1键进入BIOS设置,按Del键清空BIOS设置,按F1键清除屏幕显示,,,
驱动程序是让硬件设备能够正常工作的软件。其他项有问题。    普通,"关于驱动程序，说法正确的是（   ）。
",D,驱动程序为计算机提供最低级的硬件控制,在同一台机器中，不同设备的驱动程序是一样的,同一设备的驱动程序在不同操作系统中是一样的,驱动程序是让硬件设备能够正常工作的软件,,,
数据存储在硬盘的时候都是以簇为单位，微软操作系统（DOS、WINDOWS等）中磁盘文件存储管理的最小单位叫做“簇“。”    普通,"微软操作系统进行磁盘文件存储管理的最小单位是（   ）。
",D,扇区,磁道,分区,簇,,,
优化BIOS的设计不是CPU的性能指标。    普通,"CPU的运算速度与许多因素有关，下面(   )不是提高运算速度的有效措施。
",B,提高CPU的主频,优化BIOS的设计,增加高速缓存（Cache）的容量,增加CPU中寄存器的数目,,,
存储程序控制原理。    普通,"计算机之所以能按人们的意图自动进行工作，最直接的原因是因为采用了(   )。
",D,二进制,程序计算语言,超大规模电子元件,存储程序控制,,,
总线的带宽=总线的工作频率*总线的位宽/8  或者 总线的带宽=（总线的位宽/8 ）/总线周期。    普通,"有关总线的描述不正确的是(   )。
",D,总线的英文表示就是Bus,内部总线也称为片总线,总线体现在硬件上就是计算机主板,总线的带宽=总线的工作频率*总线的位宽,,,
外部设备是指连在计算机主机以外的设备，它一般分为输入设备、输出设备和外存储器，外部设备是计算机系统中的重要组成部分，起到信息传输、转入和存储的作用。    普通,"下列不属于外部设备的是(    )。
",B,显示器,显卡,打印机,鼠标,,,
响应时间指的是液晶显示器对输入信号的反应速度，即液晶颗粒由暗转亮或由亮转暗的时间，反应时间越短则使用者在看动态画面时越不会有尾影拖曳的感觉。    普通,"(     )越小, 液晶显示器各液晶分子对输入信号反应速度就越快, 画面的流畅度就越高。
",D,亮度,显示器的尺寸,可视角度,响应时间,,,
1、硬盘数据丢失有两种类型∶软件类型故障和硬件类型故障。\r\n\n(1）软件类型故障软件类型故障主要有：受病毒感染、误格式化或误分区、误克隆、误删除或覆盖、黑客软件等人为破坏；（2）硬件类型故障主要有盘片划伤、磁头变形、磁臂断裂、磁头芯片损坏、主轴电动机烧毁、硬盘电路板或其他元器件损坏、硬盘固件区错误、硬盘有坏道等。    普通,"以下引起硬盘数据丢失的故障中，属于硬件类型的是（   ）。
",D,FAT被改动,误格式化,逻辑零磁道损坏,硬盘有坏道,,,
.mpeg”是视频格式文件。    普通,"“.mpeg”是（    ）格式文件后缀名。
",B,文本,视频,声音,图片,,,
磁盘碎片整理程序。    普通,"操作过程中由于频繁添加或卸载程序使磁盘碎片太多，机器运行速度减慢，通过(    )整理硬盘可以达到加快文件的访问速度目的。
",D,磁盘清理程序,磁盘诊断程序,磁盘扫描程序,磁盘碎片整理程序,,,
虚拟存储器。    普通,"当内存不够用时，操作系统存储管理程序可以自动“扩充”内存，为用户提供一个容量比实际内存大得多的（    ）。
",A,虚拟存储器,脱机缓冲存储器,高速缓冲存储器,三级存储器,,,
谷歌    普通,"当前大数据技术的基础是由（   ）首先提出来的。
",D,百度,腾讯,微软,谷歌,,,
在早期的FAT文件系统中，扩展名限制只能是三个字符，现在绝大多数的操作系统已不再有此限制。    普通,"下列关于文件格式和扩展名说法错误的是（    ）。
",C,文件格式意味着文件的用途,每一种文件格式通常会有一种或多种扩展名可以用来识别,扩展名可以帮助应用程序识别的文件格式，扩展名限制是三个字符,文件格式（或文件类型）是指电脑为了存储信息而使用的对信息的特殊编码方式,,,
AI实际应用：机器视觉，指纹识别，人脸识别，视网膜识别，虹膜识别，掌纹识别，专家系统，自动规划，智能搜索，定理证明，博弈，自动程序设计，智能控制，机器人学，语言和图像理解，遗传编程等。    普通,"某中职学校“智慧校园”的利用人脸识别对学生进出学校进行管理，这是（   ）技术的应用。
",C,虚拟现实,智能代理,人工智能,区块链数据库,,,
系统软件与具体应用领域无关。    普通,"下列关于系统软件的四条叙述中，正确的是（   ）。
",B,系统软件就是指操作系统,系统软件与具体应用领域无关,系统软件与具体的硬件无关,系统软件是在应用软件基础上开发的,,,
软件危机：落后的软件生产方式无法满足迅速增长的计算机软件需求，从而导致软件开发与维护过程中出现一系列严重问题的现象。    普通,"落后的软件生产方式无法满足迅速增长的计算机软件需求，从而导致软件开发与维护过程中出现一系列严重问题，这种现象称做(    )。
",B,软件工程,软件危机,软件瓶颈,软件饥饿,,,
解释或编译工作原理不同。    普通,"下面对计算机中程序、指令等概念的理解，有错误的一项是（   ）。
",D,计算机工作必须要有程序，程序是由一条条指挥计算机工作的指令组成的,计算机指令一般由操作码，操作数两个部分组成，其中操作码用来说明指令要进行什么样的操作,高级语言编写的源程序经过编译生成了目标代码后，目标代码就会按顺序被执行,高级语言编写的源程序是不能直接执行的，必须要经过解释或编译之后才能执行，这两种方式工作原理是一样的,,,
面向对象语言有很好的的图形用户界面，面向过程语言没有。    普通,下列关于计算机语言的叙述中错误的是（ ）。,C,机器语言是由二进制代码指令构成，难编写、难修改、难维护,汇编语言是机器指令的符号化，难修改、难编写，但可直接访问系统接口，效率高,面向过程语言以&ldquo;数据结构+算法&rdquo;设计范式，有很好的图形用户界面，但要编译或解释,面向对象语言以&ldquo;对象+消息&rdquo;设计范式构成的程序设计语言，例如有Delphi、VB、Java、C++等,,,
网络层决定数据的路径选择和转寄，将网络表头（NH）加至数据包，以形成分组。网络表头包含了网络数据。    普通,"决定使用哪条路径通过子网，应在OSI的（  ）处理。
",D,物理层,传输层,数据链路层,网络层,,,
介质访问控制方法    普通,"在很大程度上决定局域网传输数据的类型、网络的响应时间、吞吐量和利用率，以及网络应用等各种网络特性的技术中，最为重要的是（   ）。
",B,传输介质,介质访问控制方法,通讯协议,拓扑结构,,,
超文本是用超链接的方法，将各种不同空间的文字信息组织在一起的网状文本。    普通,"超文本是将各种不同空间的文字信息组织在一起的网状文本,它使用（    ）\n将信息组织在一起。
",B,超媒体,超链接,指向,检索,,,
word2016软件中自动更正功能自动修正录入的文字也是人工智能的体现是错误的。    普通,"下列关于人工智能(应用）的叙述错误的有（   ）。
",D,指纹密码、刷脸门禁、华为稚晖君的“自行车”都是人工智能的实际应用,人工智能就其本质而言，是对人的思维的信息过程的模拟,针对特定的任务，人工智能程序具有自主学习的能力特征,word2016软件中自动更正功能自动修正录入的文字也是人工智能的体现,,,
VR显示的画面全是假的，而AR显示的画面有一半是真的，一半是假的。    普通,"下列说法错误的是（   ）。
",C,MR的关键特征就是合成物体和现实物体能够实时交互,虚拟现实(VR)是一种(给人）沉浸式体验，也被称为计算机模拟现实,AR显示的画面全是假的、虚拟的,扩展现实(XR）是指通过计算机技术和可穿戴设备产生的一个真实与虚拟组合的、可人机交互的环境,,,
图像是多媒体软件中最重要的信息表现形式之一，它是决定一个多媒体软件视觉效果的关键因素。    普通,"（    ）是多媒体软件中最重要的信息表现形式之一，它是决定一个多媒体软件视觉效果的关键因素。
",D,动画,声音,文字,图形图像,,,
存储媒体：指用于存储表示媒体的物理介质。如硬盘、软盘、磁盘、光盘、ROM及RAM等。    普通,"多媒体信息处理时SSD是作为(    )媒体使用的。
",C,表现,表示,存储,传输,,,
USM锐化。    普通,"若一张照片的扫描结果不够清晰，可用下列（   ）滤镜弥补。
",B,去斑,USM锐化,风格化,中间值,,,
位图的特点是可以表现色彩的变化和颜色的细微过渡，产生逼真的效果，缺点是在保存时需要记录每一个像素的位置和颜色值，占用较大的存储空间。    普通,"下列关于位图描述不准确的是(   )。
",A,位图的优点是占用的存储空间比较小,位图图像的分辨率是固定不变的,位图图像适用于逼真照片或要求精细细节的图像,位图可以用画图程序获得、从荧光屏上直接抓取、用扫描仪或视频图像抓取设备从照片等抓取、购买现成的图片库,,,
win7下自带的视频播放器是Windows Media Player软件。    普通,"由Windows7自带的媒体播放器是(   )。
",D,GoldWave,Winamp,RealPlayer,Media Player,,,
计算机内部一切信息的存储、处理与传送均采用二进制的形式。    普通,"计算机内部一切信息的存储、处理与传送均采用(   )的形式。
",A,二进制,四进制,八进制,十进制,,,
键盘键入速度不是数据通信性能指标。    普通,"下列不属于数据通信系统性能衡量指标的是(   )。
",C,数据传输速率,信道容量,键盘键入速度,误码率,,,
第一代计算机的主要元器件电子管。    普通,"计算机发展历程中第一代计算机的主要元器件是(     )。
",A,电子管,晶体管,中小规模集成电路,大规模和超大规模集成电路,,,
我国从1957年在中科院计算所开始研制通用数字电子计算机，1958年8月1日该机可以表演短程序运行，标志着我国第一台电子数字计算机诞生。机器在738厂开始少量生产，命名为103型计算机(即DJS-1型)。    普通,"中国研制的第一台电子计算机命名为（   ）。
",B,Z-80,DJS-1型,银河1号,浪潮-1101,,,
12.e    普通,"八进制数22.7对应的十六进制数是(   )。
",C,16.b33333333333,42.34,12.e,12.7,,,
B就是Byte字节，b是比特。    普通,"在计算机领域中通常用大写字母B来表示(   )。
",B,二进制位,字节,字长,字,,,
浮点数的表示范围主要由阶码的位数决定，有效数字精度主要由尾数的位数决定。    普通,"下列关于机器数的叙述中错误的是（   ）。
",C,机器数的符号被数字化，真值的符号没有被数值化,正数的原码、反码和补码是完全相同的,浮点数的有效数字精度主要由阶码的位数决定,无论采用何种机器数，只要运算的结果大于数值设备所能表示数的范围，就会产生溢出,,,
半角字符1B，全角字符2B存储空间.    普通,"下列关于字符编码的叙述中错误的是（   ）。
",D,最常用的字符编码是ASCII码,字符编码有全角、半角之分,汉字的机内码在内存中占用2B的存储空间,半角字符、全角字符在计算机中均占用1B的存储空间,,,
汉字2B*3+3字母*1B=9B。    普通,"在计算机中利用汉字机内码保存文本串“元宇宙Yyz”时，占用的字节数是(   )。
",D,6,12,16,9,,,
169.133.127.67转换二进制：10101001.10000101.01111111.01000011\r\n255.255.0.0转换二进制：11111111.11111111.00000000.00000000 与后结果是：169.133.0.0就是网络地址。    普通,"IP地址169.133.127.67/16的网络地址是（  ）。
",B,169.0.0.0,169.133.0.0,169.133.127.0,169.133.127.67,,,
简便分析：172.16.10  .0010 0000\r\n/27:255.255.255.1110 0000 与=172.16.10.32（网络地址）。    普通,"172.16.10.32/27 代表的是(    )。
",D,主机地址,广播地址,组播地址,网络地址,,,
地址解析协议ARP是根据IP地址获取物理地址的一个TCP/IP协议。    普通,"ARP协议的主要功能是（    ）。
",D,将主机域名解析为IP地址,将IP地址解析为主机域名,将物理地址解析为IP 地址,将IP地址解析为物理地址,,,
HTTP是应用层协议。    普通,"HTTP是基于B/S架构进行通信的，它工作在(   )。
",B,网络层,应用层,传输层,数据链路层,,,
根据题干和选项只能选电磁波。其他选项是无线传输介质的信号。    普通,"双绞线和同轴电缆传输的是(    )信号。
",C,红外线,微波,电磁波,光脉冲,,,
1、路由器（Router）是连接两个或多个网络的硬件设备，在网络间起网关的作用，是读取每一个数据包中的地址然后决定如何传送的专用智能性的网络设备。2、路由器就是在OSI/RM中完成的网络层中继以及第三层中继任务，对不同的网络之间的数据包进行存储、分组转发处理，其主要就是在不同的逻辑分开网络。物理信号转换是物理层的功能。    普通,"路由器是一种非常重要的网络设备,它的功能不包括\n（   ）。
",A,物理信号转换,数据处理,网络互联,网络管理,,,
红外线属于无线传输介质。    普通,"下列(    )不是有线传输介质。
",D,光纤,同轴电缆,双绞线,红外线,,,
目录索引搜索。    普通,"在湖北招生网站按照：招生\\高考招生\\技能高考\\院校\\本科院校的方式查找“武汉商学院”等多所高校的相关链接，这种搜索方式属于（  ）。
",C,元搜索,特色信息搜索,目录索引搜索,全文搜索,,,
1、防火墙主要是借助硬件和软件的作用于内部和外部网络的环境间产生一种保护的屏障，从而实现对计算机不安全网络因素的阻断。2、为了提高安全性，限制和关闭了一些有用但存在安全缺陷的网络服务。    普通,"下面关于防火墙的说法中正确的是(   )。
",A,防火墙会削弱计算机网络系统的性能,防火墙可以解决来自内部网络的攻击,防火墙可以防止所有受病毒感染的文件的传输,防火墙可以防止错误配置引起的安全威胁,,,
一台机器可以安装多块网卡。    普通,"在计算机硬件组装过程中，下列说法错误是（   )。
",C,CPU散热电扇接CPU—FAN接口,CPU三角标记与主板插座上三角标记对齐,一台机器只能安装一块网卡,插拔板卡时必要断电操作,,,
硬盘的第一个扇区被保留为主引导扇区，它位于整个硬盘的0磁头0柱面1扇区。    普通,"主引导扇区位于机械硬盘0磁道（  )。
",B,0柱面0扇区,0柱面1扇区,1柱面0扇区,1柱面1扇区,,,
Type-C，是一种全新的USB接口形式，它伴随最新的USB 3.1标准横空出世，串口。    普通,"在下列有关USB接口的叙述中错误的是(   )。
",D,USB3.0的数据传输速度比USB2.0快得多,"USB对应的中文为\""通用串行总线\""","USB既可以连接硬盘,闪存等快速设备,也可以连接鼠标,打印机等慢速设备",Type-C可以正反插，解决了USB的缺点，它是并行接口,,,
外围设备就是外设：输入输出设备和外存储器。    普通,"计算机的外围设备是指（     ）。
",D,外存储器,输入、输出设备,电源,输入输出设备和外存储器,,,
RESET SW：复位；HDD LED：硬盘指示灯；    普通,"计算机组装时如果RESET SW和 HDD LED两个连接线未连接到主板，会导致机器（  ）。
",A,无法复位，硬盘指示灯不亮,无法复位，电源指示灯不亮,无法开机，电源指示灯不亮,无法开机，硬盘指示灯不亮,,,
结合题干和选项：计算机运行速度变慢，首先检查的是软件，尤其是操作系统。    普通,"计算机运行速度变慢，首先检查的是（   ）。
",D,主板,CPU,硬盘,软件,,,
RAM存放可读写的程序和数据。    普通,"计算机中RAM的功能是（  ）。
",D,存放要求容量大速度慢的程序文件,存放要求容量大速度慢的数据文件,用于永久存放专用程序和数据,存放可读写的程序和数据,,,
cache的功能是解决CPU和主存之间的速度匹配问题。    普通,"主存和CPU之间增加高速缓冲存储器的目的是（     ）。
",D,扩大主存容量,扩大存储器的寻址空间,既扩大主存容量，又提高主存速度,解决CPU和主存之间的速度匹配问题,,,
平均潜伏时间（Average latency time）指当磁头移动到数据所在的磁道后，然后等待所要的数据块继续转动到磁头下的时间，一般在2ms－6ms之间。    普通,"(   )是指当磁头移动到数据所在的磁道后，等待所要的数据块继续转动到磁头下的时间。
",C,平均访问时间,平均传输时间,平均潜伏时间,平均寻道时间,,,
网络道德建设是社会精神文明建设的需要是正确的。    普通,"下列说法正确的是（   ）。
",D,网络社会和现实社会没有联系,我国的互联网非常安全，没有漏洞,绝对自由的互联网本身是完全存在的,网络道德建设是社会精神文明建设的需要,,,
保密性：说未授权的用户不能够获取敏感信息\r\n完整性：是保护信息保持原始的状态，使信息保持其真实性；\r\n可用性：是指授权主体在需要信息时能及时得到服务的能力；\r\n不可否认性：信息交换的双方不能否认其在交换过程中发送或接收信息的行为；\r\n可审计性是指信息系统的行为人不能否认自己的信息处理行为    普通,"下列关于信息安全的说法中正确的是（  ）。
",B,可用性是指信息的内容不会被未授权的第三方所知晓,可审计性是指信息系统的行为人不能否认自己的信息处理行为,不可否认性指阻止非授权的主体阅读信息,完整性是指未授权的用户不能够获取敏感信息,,,
HTTPS，是以安全为目标的 HTTP 通道，在HTTP的基础上通过传输加密和身份认证保证了传输过程的安全性。    普通,"网站的安全协议是https时，该网站浏览时会进行（   ）处理。
",D,口令验证,身份验证,增加访问标记,传输加密,,,
"购买了某学习软件后,就拥有了软件的使用权。    普通","购买了某学习软件后,就拥有了软件的（   ）。
",D,销售权,版权,复制权,使用权,,,
潜伏性。    普通,"计算机病毒侵人计算机后,待条件成熟才破坏计算机运行，属于计算机病毒的\n(   )。
",B,破坏性,潜伏性,隐蔽性,传染性,,,
操作系统负责对计算机的软件和硬件资源进行管理、调配。    普通,"对计算机的软、硬件资源进行管理，是（     ）的功能。
",D,用户程序,语言处理系统,数据库管理系统,操作系统,,,
根目录中能用来存放文件夹，也能存放文件。    普通,"下面关于Windows 7操作系统文件管理的一些叙述中，错误的是（    ）。
",C,文件和文件夹的名字既可以用中文也可以用英文,文件夹中可以存放文件，也可以存放文件夹，从而构成树状的文件夹结构,根目录中只能用来存放文件夹，不能存放文件,即使文件的属性是“隐藏”，该文件也能正常打开和处理,,,
MP3仅属于音频文件格式。    普通,以下文件格式中仅属于音频文件的是( )。,B,MOV,MP3,MPEG,AVI,,,
写字板文件的扩展名是RTF，记事本是txt    普通,下列关于不同的文件扩展名说法错误的是（ ）。,D,word2010的文件扩展名是docx,photoshopcs6 文件扩展名是psd,ppt模板的文件扩展名是potx,记事本文件的扩展名是RTF,,,
面向对象程序语言特点：继承、多态、封装。    普通,"不属于面向对象程序设计特征的是(   )。
",D,继承性,多态性,封装性,对比性,,,
指令系统是计算机硬件的语言系统，也叫机器语言，指机器所具有的全部指令的集合，它是软件和硬件的主要界面，反映了计算机所拥有的基本功能。    普通,"指令系统是计算机硬件的语言系统,是机器所具有的全部指令的集合,它也叫（   ）。
",D,低级语言,汇编语言,高级语言,机器语言,,,
